n. intervista,clip_n,intervistato,VIDEO CHE DEVONO ESSERCI IL 15/6,Check website,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,tags,srt_starter,srt_clip,thumb
6,1,Enrico Letta,x,EB,,,l'Europa,25-Oct,,8G5Yuinj77w,8noQQznQsYA,approvato dall'intervistato,Blu/verde,Europa a due cerchi,19,Politico,Istituzioni comuni,18,0'26'',vorrà contare,13,0'39'',,,in Europa;istituzioni;cittadini;identità,,,img/thumbs/
6,2,Enrico Letta,x,EB,,,l'Europa,25-Oct,,KUjdnKoYnJw,P9AkGUIGQ24,approvato dall'intervistato,Rosso/giallo,Il senso dell'Unione,20,Politico,Valori che condividiamo,23,0'21'',,,,,,in Europa;valori;cultura;cittadini;identità,,,img/thumbs/
6,3,Enrico Letta,x,EB,,,l'Europa,25-Oct,,8Gu79C4VfFY,aUGE00xxPf4,approvato dall'intervistato,Magenta/ciano,Immigrati integrati,19,Politico,Accogliere,10,0'11'',Senza discriminazione,21,0'38'',Con le regole,1'12'',in Europa;immigrazione;integrazione;istituzioni;cittadini;identità,,,img/thumbs/
7,1,Carlo Ancelotti,x,EB,Y,,il calcio,8-Nov,carlo_ancelotti/01,Mfh7UZSJGpg,JApnu4manPY,approvato dall'intervistato,Blu/verde,Calcio globale,14,Allenatore,identificare il calcio,22,0'14'',Ruolo più attivo,16,0'27',,,sport;globale,,,img/thumbs/cancelotti-thumb.png
7,2,Carlo Ancelotti,x,EB,Y,,il calcio,8-Nov,carlo_ancelotti/02,CPF8rQJVvT0,QeRNyI5uIA0,approvato dall'intervistato,Rosso/giallo,La statistica non fa goal,25,Allenatore,informazioni interessanti,25,0'14'',,,,,,big data;sport,,,img/thumbs/cancelotti-thumb.png
7,3,Carlo Ancelotti,x,EB,Y,,il calcio,8-Nov,carlo_ancelotti/03,8Et_busy_CI,84aisCblkJ0,approvato dall'intervistato,Magenta/ciano,I calciatori del 2066,21,Allenatore,Continuerà a evolversi,22,0'30'',Recupero,8,0'41'',,,sport,,,img/thumbs/cancelotti-thumb.png
8,1,Carlo Ratti,x,MN,,,la città,9-Nov,carlo_ratti/01,7ONz0ichHNo,Ao4mJGl22Og,approvato dall'intervistato,Blu/verde,Città e reti in movimento,25,Architetto,Il modo di vivere la città,26,0'18'',Moving web,10,0'32'',,,città;rete;innovativo;big data;digitale;visionario,,,img/thumbs/cratti-thumb.png
8,2,Carlo Ratti,x,MN,,,la città,9-Nov,carlo_ratti/02,i8ZuBkHwJGQ,tZmGsg8uzJs,approvato dall'intervistato,Rosso/giallo,"Meno Stati, più città",21,Architetto,Legge di Zipf,13,0'31'',Forza delle città piccole,25,0'58'',,,città;Made in Italy,,,img/thumbs/cratti-thumb.png
8,3,Carlo Ratti,x,MN,,,la città,9-Nov,carlo_ratti/03,_YcUBzIh9cI,4Nm6i5nqUuw,approvato dall'intervistato,Magenta/ciano,Architettura open source,24,Architetto,Coesione sociale,16,0'19'',Agente mutageno,15,0'49'',,,città;cittadini;equo;cultura,,,img/thumbs/cratti-thumb.png
9,1,Mario Calabresi,x,EB,,,i giovani,16-Nov,,_Xm_20pCzTI,PUazRaX1imU,approvato dall'intervistato,Blu/verde,Cittadini globali,17,Giornalista,Stesso modo di consumare,24,0'13'',Legati ai territori,19,0'48'',,,giovane;territorio;Made in Italy;globale,,,img/thumbs/mcalabresi-thumb.png
9,2,Mario Calabresi,x,EB,,,i giovani,16-Nov,,nFQoU7Uzs7A,FirEEU9p6Fc,approvato dall'intervistato,Rosso/giallo,Impegnato,9,Giornalista,Intorno ai temi,15,0'22'',I ragazzi si alzeranno,22,0'33'',Battaglie definite,0'37'',giovane;valori;minacce;,,,img/thumbs/mcalabresi-thumb.png
9,3,Mario Calabresi,x,EB,,,i giovani,16-Nov,,MdnYKajDa9U,8kQMhmtnDK0,approvato dall'intervistato,Magenta/ciano,Sharing economy,15,Giornalista,Non la proprietà,16,0'09'',Poter avere esperienze,22,0'24'',Scambiandole,0'34'',giovane;diverso;economia;ricchezza,,,img/thumbs/mcalabresi-thumb.png
10,1,Federico Novaro,x,EB,,,i sentimenti,25-Nov,federico_novaro/01,8H7lNmoeTcE,kq8ULeZN_SM,approvato dall'intervistato,Blu/verde,Amore 2.0,9,Critico dell'editoria,Espressioni diverse,19,0'42'',,,,,,sentimenti;giovane;social;digitale,,,img/thumbs/fnovaro-thumb.png
10,2,Federico Novaro,x,EB,,,i sentimenti,25-Nov,federico_novaro/02,_S_xbC5ILwo,9lkeqW-Nv-A,approvato dall'intervistato,Rosso/giallo,Senza vergogna,14,Critico dell'editoria,In rete i propri corpi,22,0'13'',Passaggio,9,0'46'',,,giovane;social;digitale,,,img/thumbs/fnovaro-thumb.png
10,3,Federico Novaro,x,EB,,,i sentimenti,25-Nov,federico_novaro/03,oajc8mroU7U,Esll11icuYg,approvato dall'intervistato,Magenta/ciano,Famiglia o famiglie?,20,Critico dell'editoria,Caducità dei sentimenti,23,0'19'',Reinventarsi,12,0'35'',,,sentimenti;genitori e figli,,,img/thumbs/fnovaro-thumb.png
11,1,Pietro Sella,x,MN,,,la banca,6-Dec,,qPYMVol3ea4,a3BtrBmFVI4,approvato dall'intervistato,Blu/verde,La banca quasi invisibile,25,Banchiere,Sempre con me,13,0'32'',Mio consulente,14,0'57'',,,ricchezza;diverso;digitale;visionario,,,img/thumbs/
11,2,Pietro Sella,x,MN,,,la banca,6-Dec,,NtAlYVy6w5Y,x041K7Wx7Wk,approvato dall'intervistato,Rosso/giallo,Monete digitali,15,Banchiere,Identificando noi stessi,24,0'29'',,,,,,ricchezza;diverso;big data;digitale,,,img/thumbs/
11,3,Pietro Sella,x,MN,,,la banca,6-Dec,,-SXxMgjTqyw,wm_ORWGxgdQ,approvato dall'intervistato,Magenta/ciano,Soldi più sicuri,16,Banchiere,Tracciabilità,13,0'19'',Bitcoin e Blockchain,20,0'25'',,,ricchezza;minacce;digitale,,,img/thumbs/
12,1,Federico Buffa,x,EB,,,lo sport,1-Dec,,XaHUFlbxQeE,LwuASvQVe5E,approvato dall'intervistato,Blu/verde,"Citius, altius, fortius",23,Giornalista sportivo,un'era di gigantismo,20,0'15'',lo sport del mondo,18,0'43'',,,sport;positivo;globale,,,img/thumbs/fbuffa-thumb.png
12,2,Federico Buffa,x,EB,,,lo sport,1-Dec,,bBf5X05vR90,q_3TRI_LOL4,approvato dall'intervistato,Rosso/giallo,Sport unisex,12,Giornalista sportivo,il futuro dell'umanità,22,0'10'',i migliori atleti,17,0'19'',,,sport;femminile,,,img/thumbs/fbuffa-thumb.png
12,3,Federico Buffa,x,EB,,,lo sport,1-Dec,,l7erY8Ye2A0,MS_rR9ofgDY,approvato dall'intervistato,Magenta/ciano,"Campioni, non modelli",21,Giornalista sportivo,per il mondo diseredato,23,0'21'',,,,,,sport;giovane;povertà,,,img/thumbs/fbuffa-thumb.png
13,1,Martina Bagnoli,x,MN,,,il museo,7-Dec,,jyiAtJLOfZI,R-1e1As6elE,approvato dall'intervistato,Blu/verde,"Tutela, dovere di tutti",23,Direttrice Gallerie Estensi,parte della propria vita,24,0'31'',,,,,,patrimonio culturale;cultura;arte;identità,,,img/thumbs/
13,2,Martina Bagnoli,x,MN,,,il museo,7-Dec,,RpUGaL38H2s,--xOU10H6SU,approvato dall'intervistato,Rosso/giallo,Il mondo nel museo,18,Direttrice Gallerie Estensi,imparare a guardare,19,0'22'',slow looking,12,0'30'',,,digitale;tecnologico;cultura;arte,,,img/thumbs/
13,3,Martina Bagnoli,x,MN,,,il museo,7-Dec,,YwG5iMzUwVY,IDmH10j424w,approvato dall'intervistato,Magenta/ciano,Musei in rete,13,Direttrice Gallerie Estensi,costantemente rigenerato,24,0'10'',museo diffuso,13,0'31'',buone esperienze,0'48'',cultura;patrimonio culturale;arte;cibo,,,img/thumbs/
14,1,Roberto Cingolani,x,MN,,,la tecnologia,25-Nov,,DDgXsYjKW_c,ZVnBtnMGtCo,approvato dall'intervistato,Blu/verde,Multidisciplinare,17,Direttore Scientifico IIT,paradigmi da ricostruire,24,0'11'',competenze diverse,18,0'42'',,,tecnologico;Made in Italy,,,img/thumbs/
14,2,Roberto Cingolani,x,MN,,,la tecnologia,25-Nov,,LAdavQCVmJk,Nkz2Sqt2w4o,approvato dall'intervistato,Rosso/giallo,Welfare supertecnologico,24,Direttore Scientifico IIT,mantenere il sistema,20,0'29'',Italian lifestyle,17,1'13'',,,welfare;tecnologico;generazioni;intelligenza artificiale,,,img/thumbs/
